name,name_mn,calories,carbohydrate,sugars,fiber,protein,fat
"Oil, cocoa butter",,884.0,0.0,0.0,0.0,0.0,100.0
"Eggplant, pickled",,49.0,9.77,4.8,2.5,0.9,0.7
"Babyfood, cookies",,433.0,67.1,24.2,0.2,11.8,13.2
"Egg, dried, whole",,592.0,1.13,0.56,0.0,48.05,43.9
"Coffeecake, fruit",,311.0,51.5,0.0,2.5,5.2,10.2
"Sour cream, light",,136.0,7.1,0.22,0.0,3.5,10.6
"Egg, dried, white",,382.0,7.8,5.4,0.0,81.1,0.0
"Wild rice, cooked",,101.0,21.34,0.73,1.8,3.99,0.34
"Chicken, meatless",,224.0,3.64,0.0,3.6,23.64,12.73
"Wheat, soft white",,340.0,75.36,0.41,12.7,10.69,1.99
"Cabbage, raw, red",,31.0,7.37,3.83,2.1,1.43,0.16
"Cheese, limburger",,327.0,0.49,0.49,0.0,20.05,27.25
"Bread, rice bran",,243.0,43.5,4.67,4.9,8.9,4.6
"Sugars, powdered",,389.0,99.77,97.81,0.0,0.0,0.0
"Cookies, fortune",,378.0,84.0,45.42,1.6,4.2,2.7
"Rice bran, crude",,316.0,49.69,0.9,21.0,13.35,20.85
"Rye flour, light",,357.0,76.68,0.93,8.0,9.82,1.33
"Fish oil, salmon",,902.0,0.0,0.0,0.0,0.0,100.0
"Cheese, muenster",,368.0,1.12,1.12,0.0,23.41,30.04
"Cheese, cheshire",,387.0,4.78,0.0,0.0,23.37,30.6
"Bagels, oat bran",,255.0,53.3,1.63,3.6,10.7,1.2
"Fat, beef tallow",,902.0,0.0,0.0,0.0,0.0,100.0
"Oat bran, cooked",,40.0,11.44,0.0,2.6,3.21,0.86
"Sugar, turbinado",,399.0,99.8,99.19,0.0,0.0,0.0
"Headcheese, pork",,157.0,0.0,0.0,0.0,13.83,10.9
"Olive loaf, pork",,235.0,9.2,0.0,0.0,11.8,16.5
"Egg, dried, yolk",,669.0,0.66,0.23,0.0,33.63,59.13
"Cheese, monterey",,373.0,0.68,0.5,0.0,24.48,30.28
"Cheese, cheddar",,404.0,3.09,0.48,0.0,22.87,33.31
"Cheese, caraway",,376.0,3.06,0.0,0.0,25.18,29.2
"Oil, wheat germ",,884.0,0.0,0.0,0.0,0.0,100.0
"Bread, oat bran",,236.0,39.8,7.7,4.5,10.4,4.4
Potato pancakes,,268.0,27.81,1.79,3.3,6.08,14.76
"Rye flour, dark",,325.0,68.63,2.31,23.8,15.91,2.22
"Oil, tomatoseed",,884.0,0.0,0.0,0.0,0.0,100.0
"Breadfruit, raw",,103.0,27.12,11.0,4.9,1.07,0.23
Arrowroot flour,,357.0,88.15,0.0,3.4,0.3,0.1
"Wheat, sprouted",,198.0,42.53,0.0,1.1,7.49,1.27
"Bread, cinnamon",,253.0,44.38,14.11,3.5,7.05,5.29
"Cabbage, kimchi",,15.0,2.4,1.06,1.6,1.1,0.5
"Cheese, gruyere",,413.0,0.36,0.36,0.0,29.81,32.34
"Cheese, gjetost",,466.0,42.65,0.0,0.0,9.65,29.51
"Cheese, fontina",,389.0,1.55,1.55,0.0,25.6,31.14
"Butter, salted",,717.0,0.06,0.06,0.0,0.85,81.11
"Oil, rice bran",,884.0,0.0,0.0,0.0,0.0,100.0
"Crackers, milk",,446.0,71.73,10.32,3.4,7.6,13.77
"Bread, oatmeal",,269.0,48.5,8.14,4.0,8.4,4.4
"Bread, italian",,271.0,50.1,3.17,3.2,8.8,3.5
"Scrapple, pork",,213.0,14.06,0.2,0.3,8.06,13.87
"Oil, poppyseed",,884.0,0.0,0.0,0.0,0.0,100.0
"Oil, grapeseed",,884.0,0.0,0.0,0.0,0.0,100.0
"Barley, hulled",,354.0,73.48,0.8,17.3,12.48,2.3
"Cheese, romano",,387.0,3.63,0.73,0.0,31.8,26.94
Chicken spread,,158.0,4.05,0.47,0.3,18.01,17.56
"Wild rice, raw",,357.0,74.9,2.5,6.2,14.73,1.08
"Oil, cupu assu",,884.0,0.0,0.0,0.0,0.0,100.0
"Cheese, tilsit",,340.0,1.88,0.0,0.0,24.41,25.98
"Cheese, brick",,371.0,2.79,0.51,0.0,23.24,29.68
"Sugars, brown",,380.0,98.09,97.02,0.0,0.12,0.0
"Bologna, beef",,299.0,4.29,2.05,0.0,10.91,26.13
"Oil, hazelnut",,884.0,0.0,0.0,0.0,0.0,100.0
"Bagels, wheat",,250.0,48.89,6.12,4.1,10.2,1.53
"Sugars, maple",,354.0,90.9,84.87,0.0,0.1,0.2
Rice crackers,,416.0,82.64,0.0,0.0,10.0,5.0
"Cheese, colby",,394.0,2.57,0.52,0.0,23.76,32.11
"Cheese, cream",,350.0,5.52,3.76,0.0,6.15,34.44
"Bologna, pork",,247.0,0.73,0.0,0.0,15.3,19.87
"Oat bran, raw",,246.0,66.22,1.45,15.4,17.3,7.03
"Bread, cheese",,408.0,44.83,2.08,2.1,10.42,20.83
"Bread, potato",,266.0,47.07,9.38,6.3,12.5,3.13
"Cheese, swiss",,393.0,1.44,0.0,0.0,26.96,30.99
"Cheese, gouda",,356.0,2.22,2.22,0.0,24.94,27.44
"Cheese, blue",,353.0,2.34,0.5,0.0,21.4,28.74
"Cheese, brie",,334.0,0.45,0.45,0.0,20.75,27.68
"Oil, teaseed",,884.0,0.0,0.0,0.0,0.0,100.0
"Oil, sheanut",,884.0,0.0,0.0,0.0,0.0,100.0
"Oil, babassu",,884.0,0.0,0.0,0.0,0.0,100.0
"Carrots, raw",,41.0,9.58,4.74,2.8,0.93,0.24
"Cabbage, raw",,25.0,5.8,3.2,2.5,1.28,0.1
"Bread, wheat",,267.0,48.68,5.91,4.0,10.72,3.24
"Cheese, edam",,357.0,1.43,1.43,0.0,24.99,27.8
"Cheese, feta",,264.0,4.09,4.09,0.0,14.21,21.28
"Oil, coconut",,892.0,0.0,0.0,0.0,0.0,99.06
"Wheat, durum",,339.0,71.13,0.0,0.0,13.68,2.47
Millet flour,,382.0,75.12,1.66,3.5,10.75,4.25
Potato flour,,357.0,83.1,3.52,5.9,6.9,0.34
"Oil, mustard",,884.0,0.0,0.0,0.0,0.0,100.0
"Oil, avocado",,884.0,0.0,0.0,0.0,0.0,100.0
"Fat, chicken",,900.0,0.0,0.0,0.0,0.0,99.8
Carob flour,,222.0,88.88,49.08,39.8,4.62,0.65
Tofu yogurt,,94.0,15.96,1.24,0.2,3.5,1.8
"Bagels, egg",,278.0,53.0,0.0,2.3,10.6,2.1
"Oil, almond",,884.0,0.0,0.0,0.0,0.0,100.0
"Oil, walnut",,884.0,0.0,0.0,0.0,0.0,100.0
"Oil, canola",,884.0,0.0,0.0,0.0,0.0,100.0
"Onions, raw",,40.0,9.34,4.24,1.7,1.1,0.1
Fish broth,,16.0,0.4,0.09,0.0,2.0,0.6
"Bread, rye",,259.0,48.3,3.85,5.8,8.5,3.3
"Bread, egg",,287.0,47.8,1.78,2.3,9.5,6.0
Buckwheat,,343.0,71.5,0.0,10.0,13.25,3.4
"Oil, palm",,884.0,0.0,0.0,0.0,0.0,100.0
"Goat, raw",,109.0,0.0,0.0,0.0,20.6,2.31
"Oil, oat",,884.0,0.0,0.0,0.0,0.0,100.0
Eggnog,,88.0,8.05,8.05,0.0,4.55,4.19
Oats,,389.0,66.27,0.0,10.6,16.89,6.9
"Wheat flour, whole-grain",,340.0,71.97,0.41,10.7,13.21,2.5
"Cookies, chocolate wafers",,433.0,72.7,37.43,3.4,6.6,14.2
"Egg, poached, cooked, whole",,143.0,0.71,0.37,0.0,12.51,9.47
"Noodles, chow mein, chinese",,475.0,72.8,5.71,3.7,8.11,15.43
"Oil, cold pressed, flaxseed",,884.0,0.0,0.0,0.0,0.11,99.98
"Triticale flour, whole-grain",,338.0,73.14,0.0,14.6,13.18,1.81
"Cheese, queso anejo, mexican",,373.0,4.63,4.63,0.0,21.44,29.98
"Lamb, broiled, cooked, ground",,283.0,0.0,0.0,0.0,24.75,19.65
"Salami, beef and pork, cooked",,336.0,2.4,0.96,0.0,21.85,25.9
"Rice flour, unenriched, white",,366.0,80.13,0.12,2.4,5.95,1.42
"Yogurt, nonfat, fruit variety",,95.0,19.0,19.0,0.0,4.4,0.2
"Babyfood, fruit, baby, cookie",,435.0,73.7,24.2,3.4,6.8,12.6
"Chicken, raw, giblets, capons",,130.0,1.42,0.0,0.0,18.28,5.18
"Crackers, whole grain, cheese",,412.0,57.29,0.0,6.4,9.62,16.03
"Seeds, high-fat, sesame flour",,526.0,26.62,0.0,0.0,30.78,37.1
"Egg, raw, fresh, whole, quail",,158.0,0.41,0.4,0.0,13.05,11.09
"Cheese substitute, mozzarella",,248.0,23.67,23.67,0.0,11.47,12.22
"Wheat, cooked, KAMUT khorasan",,132.0,27.6,3.07,4.3,5.71,0.83
"Noodles, dry, somen, japanese",,356.0,74.1,0.0,4.3,11.35,0.81
"Crackers, reduced fat, cheese",,418.0,68.19,0.0,3.3,10.0,11.67
